Feature,Importance
dload,0.0728067914793283
sload,0.07119718540849951
ackdat,0.06806237068078062
dbytes,0.05260127747872559
sbytes,0.051010652689318835
sinpkt,0.0476935944205712
smean,0.04756924661799104
rate,0.04683668384078451
synack,0.04672952945996894
dinpkt,0.04512804137508479
dpkts,0.04464969651316048
state_INT,0.037174008265183925
dur,0.036509324735249093
ct_dst_sport_ltm,0.034717075663157876
dmean,0.03270935639076369
sjit,0.026589731463117897
tcprtt,0.026449053345115502
spkts,0.023041941672127066
djit,0.02282208243579819
ct_src_dport_ltm,0.02077628444763299
sloss,0.017689022793513046
dtcpb,0.015232503965512975
stcpb,0.013570977105457054
proto_tcp,0.010965386864109984
dloss,0.010934273838578385
service_-,0.008533341692906605
proto_arp,0.008509853046406989
is_sm_ips_ports,0.0070040789242691035
service_dns,0.0069404458961815135
proto_udp,0.006252786913109072
dwin,0.0045947037984850414
state_CON,0.0045256087877470815
service_http,0.004229040401738693
response_body_len,0.0040063636341883795
ct_flw_http_mthd,0.003152215167769006
trans_depth,0.002729925380140346
swin,0.002178025265040447
state_FIN,0.0021620182778576648
state_REQ,0.0017754117719579686
proto_ospf,0.0017596526456555108
service_smtp,0.0015498996770279012
proto_unas,0.0014762447114336202
proto_sctp,0.001052777427089041
service_ftp-data,0.0007844819367007454
service_ftp,0.0005460542129114129
is_ftp_login,0.00041377182189649623
ct_ftp_cmd,0.00040308151640520523
proto_igmp,0.0002706397201649346
service_ssh,0.00019649062983077763
proto_ipv6,0.0001810770454474817
service_pop3,0.0001561073274140283
proto_sep,0.00015188788821303482
state_ECO,0.00015149626671513586
service_dhcp,9.820459250928595e-05
proto_icmp,8.376725014692586e-05
proto_sun-nd,7.901551233395937e-05
proto_mobile,7.118456512192704e-05
proto_gre,6.493194587503786e-05
proto_rvd,6.311892418182073e-05
proto_swipe,4.86567342867131e-05
proto_mux,3.9328271015072865e-05
state_RST,3.4536702184216245e-05
proto_st2,3.075779829043707e-05
service_radius,2.898568246100296e-05
proto_pim,1.951309606036106e-05
service_ssl,1.816174677869002e-05
service_snmp,1.2830585745459656e-05
service_irc,1.1933984644305356e-05
proto_pup,1.0621316728918909e-05
proto_secure-vmtp,9.44326714455983e-06
proto_cbt,8.92580541638803e-06
proto_prm,7.2411363297326835e-06
state_PAR,5.757711448002189e-06
proto_rsvp,5.132060746151773e-06
proto_rtp,5.11105623281922e-06
proto_xnet,4.126055863918345e-06
proto_bna,3.6510917270939265e-06
proto_vrrp,3.4939114565550816e-06
proto_ipnip,3.2609334374118508e-06
proto_iplt,2.9883680265176747e-06
proto_il,2.8682637571267444e-06
proto_ggp,2.6915393337718336e-06
proto_crtp,2.5825985452947876e-06
proto_rdp,2.4498735711618693e-06
proto_aris,2.405441140741792e-06
proto_ddx,2.2611967668092235e-06
proto_ttp,2.1554563981637005e-06
proto_any,2.0621796252466027e-06
proto_tp++,1.9441716571930934e-06
proto_ipv6-route,1.9119484643797324e-06
proto_i-nlsp,1.8668084294892126e-06
proto_trunk-2,1.8478095378662507e-06
proto_3pc,1.8101057618484052e-06
proto_cftp,1.7979238165201805e-06
proto_chaos,1.7333664619718481e-06
proto_leaf-2,1.6135239690668679e-06
proto_trunk-1,1.6122802411602027e-06
proto_idrp,1.6085338746896964e-06
proto_uti,1.5408671940621597e-06
proto_dcn,1.536818473090848e-06
proto_sat-expak,1.4530697073938394e-06
proto_netblt,1.4186728483169733e-06
proto_fire,1.4025171817433437e-06
proto_mhrp,1.3724177240091805e-06
proto_micp,1.3413132774641543e-06
proto_scps,1.325218581330749e-06
proto_ipv6-frag,1.3139861055166e-06
proto_idpr-cmtp,1.2675310981967663e-06
proto_fc,1.1890799929053959e-06
proto_nsfnet-igp,1.1126506640880852e-06
proto_etherip,1.0694897333944724e-06
proto_sprite-rpc,1.0114550985580144e-06
proto_irtp,1.0111427222710117e-06
proto_ifmp,9.609736329332377e-07
proto_kryptolan,9.23682446004314e-07
proto_ip,9.175205681525003e-07
state_no,7.948010462561332e-07
proto_leaf-1,7.873937423081249e-07
proto_argus,7.153509055086302e-07
proto_wb-mon,6.208416741275483e-07
proto_narp,5.422550471331432e-07
proto_encap,5.236404395592917e-07
proto_iatp,5.074683774984886e-07
proto_compaq-peer,4.878736713501819e-07
proto_visa,4.014223911514872e-07
proto_ddp,3.919323542771317e-07
proto_wb-expak,3.762665571830106e-07
proto_nvp,3.517255571267893e-07
